0x4:b8080050	 brai	 0x50	 
0xa14:b0000000	 imm	 0x0	 
0xa18:30630c50	 addik	 r3,  r3,  0xc50	 
0xa18:30630c50	 addik	 r3,  r3,  0xc50	 
0xa1c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa20:e8730004	 lwi	 r3,  r19,  0x4	 
0xa24:64630402	 bslli	 r3,  r3,  0x2	 
0xa28:b0000000	 imm	 0x0	 
0xa2c:30630c78	 addik	 r3,  r3,  0xc78	 
0xa2c:30630c78	 addik	 r3,  r3,  0xc78	 
0xa30:e8630000	 lwi	 r3,  r3,  0x0	 
0xa34:40841800	 mul	 r4,  r4,  r3	 
0xa38:e8730008	 lwi	 r3,  r19,  0x8	 
0xa3c:10641800	 addk	 r3,  r4,  r3	 
0xa40:f8730008	 swi	 r3,  r19,  0x8	 
0xa44:e8730004	 lwi	 r3,  r19,  0x4	 
0xa48:30630001	 addik	 r3,  r3,  0x1	 
0xa4c:f8730004	 swi	 r3,  r19,  0x4	 
0xa50:e8930004	 lwi	 r4,  r19,  0x4	 
0xa54:30600009	 addik	 r3,  r0,  0x9	 
0xa58:16441801	 cmp	 r18,  r4,  r3	 
0xa5c:bcb2ffb0	 bgei	 r18,  0xffb0	 
0xa10:64630402	 bslli	 r3,  r3,  0x2	 
0xa14:b0000000	 imm	 0x0	 
0xa18:30630c50	 addik	 r3,  r3,  0xc50	 
0xa18:30630c50	 addik	 r3,  r3,  0xc50	 
0xa1c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa20:e8730004	 lwi	 r3,  r19,  0x4	 
0xa24:64630402	 bslli	 r3,  r3,  0x2	 
0xa28:b0000000	 imm	 0x0	 
0xa2c:30630c78	 addik	 r3,  r3,  0xc78	 
0xa2c:30630c78	 addik	 r3,  r3,  0xc78	 
0xa30:e8630000	 lwi	 r3,  r3,  0x0	 
0xa34:40841800	 mul	 r4,  r4,  r3	 
0xa38:e8730008	 lwi	 r3,  r19,  0x8	 
0xa3c:10641800	 addk	 r3,  r4,  r3	 
0xa40:f8730008	 swi	 r3,  r19,  0x8	 
0xa44:e8730004	 lwi	 r3,  r19,  0x4	 
0xa48:30630001	 addik	 r3,  r3,  0x1	 
0xa4c:f8730004	 swi	 r3,  r19,  0x4	 
0xa50:e8930004	 lwi	 r4,  r19,  0x4	 
0xa54:30600009	 addik	 r3,  r0,  0x9	 
0xa58:16441801	 cmp	 r18,  r4,  r3	 
0xa5c:bcb2ffb0	 bgei	 r18,  0xffb0	 
0xa10:64630402	 bslli	 r3,  r3,  0x2	 
0xa14:b0000000	 imm	 0x0	 
0xa18:30630c50	 addik	 r3,  r3,  0xc50	 
0xa18:30630c50	 addik	 r3,  r3,  0xc50	 
0xa1c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa20:e8730004	 lwi	 r3,  r19,  0x4	 
0xa24:64630402	 bslli	 r3,  r3,  0x2	 
0xa28:b0000000	 imm	 0x0	 
0xa2c:30630c78	 addik	 r3,  r3,  0xc78	 
0xa2c:30630c78	 addik	 r3,  r3,  0xc78	 
0xa30:e8630000	 lwi	 r3,  r3,  0x0	 
0xa34:40841800	 mul	 r4,  r4,  r3	 
0xa38:e8730008	 lwi	 r3,  r19,  0x8	 
0xa3c:10641800	 addk	 r3,  r4,  r3	 
0xa40:f8730008	 swi	 r3,  r19,  0x8	 
0xa44:e8730004	 lwi	 r3,  r19,  0x4	 
0xa48:30630001	 addik	 r3,  r3,  0x1	 
0xa4c:f8730004	 swi	 r3,  r19,  0x4	 
0xa50:e8930004	 lwi	 r4,  r19,  0x4	 
0xa54:30600009	 addik	 r3,  r0,  0x9	 
0xa58:16441801	 cmp	 r18,  r4,  r3	 
0xa5c:bcb2ffb0	 bgei	 r18,  0xffb0	 
0xa10:64630402	 bslli	 r3,  r3,  0x2	 
0xa14:b0000000	 imm	 0x0	 
0xa18:30630c50	 addik	 r3,  r3,  0xc50	 
0xa18:30630c50	 addik	 r3,  r3,  0xc50	 
0xa1c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa20:e8730004	 lwi	 r3,  r19,  0x4	 
0xa24:64630402	 bslli	 r3,  r3,  0x2	 
0xa28:b0000000	 imm	 0x0	 
0xa2c:30630c78	 addik	 r3,  r3,  0xc78	 
0xa2c:30630c78	 addik	 r3,  r3,  0xc78	 
0xa30:e8630000	 lwi	 r3,  r3,  0x0	 
0xa34:40841800	 mul	 r4,  r4,  r3	 
0xa38:e8730008	 lwi	 r3,  r19,  0x8	 
0xa3c:10641800	 addk	 r3,  r4,  r3	 
0xa40:f8730008	 swi	 r3,  r19,  0x8	 
0xa44:e8730004	 lwi	 r3,  r19,  0x4	 
0xa48:30630001	 addik	 r3,  r3,  0x1	 
0xa4c:f8730004	 swi	 r3,  r19,  0x4	 
0xa50:e8930004	 lwi	 r4,  r19,  0x4	 
0xa54:30600009	 addik	 r3,  r0,  0x9	 
0xa58:16441801	 cmp	 r18,  r4,  r3	 
0xa5c:bcb2ffb0	 bgei	 r18,  0xffb0	 
0xa64:10330000	 addk	 r1,  r19,  r0	 
0xa68:ea61000c	 lwi	 r19,  r1,  0xc	 
0xa6c:30210010	 addik	 r1,  r1,  0x10	 
0xa70:b60f0008	 rtsd	 r15,  0x8	 
0xa74:80000000	 or	 r0,  r0,  r0	 
0xa74:80000000	 or	 r0,  r0,  r0	 
0x2ac:32630000	 addik	 r19,  r3,  0x0	 
0x2b0:b0000000	 imm	 0x0	 
0x2b4:b9f40800	 brlid	 r15,  0x800	 
0x2b8:80000000	 or	 r0,  r0,  r0	 
0x2b4:b9f40800	 brlid	 r15,  0x800	 
0x2b8:80000000	 or	 r0,  r0,  r0	 
0x2b8:80000000	 or	 r0,  r0,  r0	 
0xab4:3021fff0	 addik	 r1,  r1,  0xfff0	 
0xab8:d9e00800	 sw	 r15,  r0,  r1	 
0xabc:b000ffff	 imm	 0xffff	 
0xac0:b9f4f664	 brlid	 r15,  0xf664	 
0xac4:80000000	 or	 r0,  r0,  r0	 
0xac0:b9f4f664	 brlid	 r15,  0xf664	 
0xac4:80000000	 or	 r0,  r0,  r0	 
0xac4:80000000	 or	 r0,  r0,  r0	 
0x124:b0000000	 imm	 0x0	 
0x128:e0600c30	 lbui	 r3,  r0,  0xc30	 
0x128:e0600c30	 lbui	 r3,  r0,  0xc30	 
0x12c:bc2300b0	 bnei	 r3,  0xb0	 
0x134:b0000000	 imm	 0x0	 
0x138:30600adc	 addik	 r3,  r0,  0xadc	 
0x138:30600adc	 addik	 r3,  r0,  0xadc	 
0x13c:fa61001c	 swi	 r19,  r1,  0x1c	 
0x140:b0000000	 imm	 0x0	 
0x144:32600ae0	 addik	 r19,  r0,  0xae0	 
0x144:32600ae0	 addik	 r19,  r0,  0xae0	 
0x148:f9e10000	 swi	 r15,  r1,  0x0	 
0x14c:fac10020	 swi	 r22,  r1,  0x20	 
0x150:16639800	 rsubk	 r19,  r3,  r19	 
0x154:66730202	 bsrai	 r19,  r19,  0x2	 
0x158:3273ffff	 addik	 r19,  r19,  0xffff	 
0x15c:12c30000	 addk	 r22,  r3,  r0	 
0x160:b0000000	 imm	 0x0	 
0x164:e8600c34	 lwi	 r3,  r0,  0xc34	 
0x164:e8600c34	 lwi	 r3,  r0,  0xc34	 
0x168:16531803	 cmpu	 r18,  r19,  r3	 
0x16c:be520054	 bltid	 r18,  0x54	 
0x170:30630001	 addik	 r3,  r3,  0x1	 
0x170:30630001	 addik	 r3,  r3,  0x1	 
0x174:b9f4ff10	 brlid	 r15,  0xff10	 
0x178:80000000	 or	 r0,  r0,  r0	 
0x178:80000000	 or	 r0,  r0,  r0	 
0x84:b0000000	 imm	 0x0	 
0x88:30a00c30	 addik	 r5,  r0,  0xc30	 
0x88:30a00c30	 addik	 r5,  r0,  0xc30	 
0x8c:b0000000	 imm	 0x0	 
0x90:30600c30	 addik	 r3,  r0,  0xc30	 
0x90:30600c30	 addik	 r3,  r0,  0xc30	 
0x94:88632800	 xor	 r3,  r3,  r5	 
0x98:bc03002c	 beqi	 r3,  0x2c	 
0xc8:80000000	 or	 r0,  r0,  r0	 
0x17c:b0000000	 imm	 0x0	 
0x180:30600000	 addik	 r3,  r0,  0x0	 
0x180:30600000	 addik	 r3,  r0,  0x0	 
0x184:be030020	 beqid	 r3,  0x20	 
0x188:e9e10000	 lwi	 r15,  r1,  0x0	 
0x188:e9e10000	 lwi	 r15,  r1,  0x0	 
0x1a4:ea61001c	 lwi	 r19,  r1,  0x1c	 
0x1a8:eac10020	 lwi	 r22,  r1,  0x20	 
0x1ac:30600001	 addik	 r3,  r0,  0x1	 
0x1b0:b0000000	 imm	 0x0	 
0x1b4:f0600c30	 sbi	 r3,  r0,  0xc30	 
0x1b4:f0600c30	 sbi	 r3,  r0,  0xc30	 
0x1b8:b60f0008	 rtsd	 r15,  0x8	 
0x1bc:30210024	 addik	 r1,  r1,  0x24	 
0x1bc:30210024	 addik	 r1,  r1,  0x24	 
0xac8:c9e00800	 lw	 r15,  r0,  r1	 
0xacc:b60f0008	 rtsd	 r15,  0x8	 
0xad0:30210010	 addik	 r1,  r1,  0x10	 
0xad0:30210010	 addik	 r1,  r1,  0x10	 
0x2bc:b0000000	 imm	 0x0	 
0x2c0:b9f404a4	 brlid	 r15,  0x4a4	 
0x2c4:80000000	 or	 r0,  r0,  r0	 
0x2c0:b9f404a4	 brlid	 r15,  0x4a4	 
0x2c4:80000000	 or	 r0,  r0,  r0	 
0x2c4:80000000	 or	 r0,  r0,  r0	 
0x764:b60f0008	 rtsd	 r15,  0x8	 
0x768:80000000	 or	 r0,  r0,  r0	 
0x768:80000000	 or	 r0,  r0,  r0	 
0x2c8:c9e10000	 lw	 r15,  r1,  r0	 
0x2cc:30730000	 addik	 r3,  r19,  0x0	 
0x2d0:b60f0008	 rtsd	 r15,  0x8	 
0x2d4:20210028	 addi	 r1,  r1,  0x28	 
0x2d4:20210028	 addi	 r1,  r1,  0x28	 
0x74:b0000000	 imm	 0x0	 
0x78:b9f406fc	 brlid	 r15,  0x6fc	 
0x7c:30a30000	 addik	 r5,  r3,  0x0	 
0x78:b9f406fc	 brlid	 r15,  0x6fc	 
0x7c:30a30000	 addik	 r5,  r3,  0x0	 
0x7c:30a30000	 addik	 r5,  r3,  0x0	 
0x774:3021ffe0	 addik	 r1,  r1,  0xffe0	 
0x778:10c00000	 addk	 r6,  r0,  r0	 
0x77c:fa61001c	 swi	 r19,  r1,  0x1c	 
0x780:f9e10000	 swi	 r15,  r1,  0x0	 
0x784:b0000000	 imm	 0x0	 
0x788:b9f4002c	 brlid	 r15,  0x2c	 
0x78c:12650000	 addk	 r19,  r5,  r0	 
0x788:b9f4002c	 brlid	 r15,  0x2c	 
0x78c:12650000	 addk	 r19,  r5,  r0	 
0x78c:12650000	 addk	 r19,  r5,  r0	 
0x7b4:3021ffc4	 addik	 r1,  r1,  0xffc4	 
0x7b8:fb010028	 swi	 r24,  r1,  0x28	 
0x7bc:b0000000	 imm	 0x0	 
0x7c0:eb000ae4	 lwi	 r24,  r0,  0xae4	 
0x7c0:eb000ae4	 lwi	 r24,  r0,  0xae4	 
0x7c4:f9e10000	 swi	 r15,  r1,  0x0	 
0x7c8:fa61001c	 swi	 r19,  r1,  0x1c	 
0x7cc:fac10020	 swi	 r22,  r1,  0x20	 
0x7d0:fae10024	 swi	 r23,  r1,  0x24	 
0x7d4:fb21002c	 swi	 r25,  r1,  0x2c	 
0x7d8:fb410030	 swi	 r26,  r1,  0x30	 
0x7dc:fb610034	 swi	 r27,  r1,  0x34	 
0x7e0:fb810038	 swi	 r28,  r1,  0x38	 
0x7e4:ead80048	 lwi	 r22,  r24,  0x48	 
0x7e8:be160048	 beqid	 r22,  0x48	 
0x7ec:13450000	 addk	 r26,  r5,  r0	 
0x7ec:13450000	 addk	 r26,  r5,  r0	 
0x830:e9e10000	 lwi	 r15,  r1,  0x0	 
0x834:ea61001c	 lwi	 r19,  r1,  0x1c	 
0x838:eac10020	 lwi	 r22,  r1,  0x20	 
0x83c:eae10024	 lwi	 r23,  r1,  0x24	 
0x840:eb010028	 lwi	 r24,  r1,  0x28	 
0x844:eb21002c	 lwi	 r25,  r1,  0x2c	 
0x848:eb410030	 lwi	 r26,  r1,  0x30	 
0x84c:eb610034	 lwi	 r27,  r1,  0x34	 
0x850:eb810038	 lwi	 r28,  r1,  0x38	 
0x854:b60f0008	 rtsd	 r15,  0x8	 
0x858:3021003c	 addik	 r1,  r1,  0x3c	 
0x858:3021003c	 addik	 r1,  r1,  0x3c	 
0x790:b0000000	 imm	 0x0	 
0x794:e8a00ae4	 lwi	 r5,  r0,  0xae4	 
0x794:e8a00ae4	 lwi	 r5,  r0,  0xae4	 
0x798:e8650028	 lwi	 r3,  r5,  0x28	 
0x79c:bc03000c	 beqi	 r3,  0xc	 
0x7ac:b9f4f8d4	 brlid	 r15,  0xf8d4	 
0x7b0:10b30000	 addk	 r5,  r19,  r0	 
0x7b0:10b30000	 addk	 r5,  r19,  r0	 
0x80:b8000000	 bri	 0x0	 
